"subj_idx","TIR_friend","TIR_stranger","TIR_self","TR_friend","TR_stranger","TR_self"
1,2.8629355161358303,3.8290116501111138,3.7576672661765573,1.88067149278531,2.743568198399058,3.3507599615860415
2,2.082274469021522,2.382867836693313,2.518183277463903,1.7254677281835216,2.679215498841944,2.3709897292233575
3,3.4633287922444906,3.9320749773322787,2.680537055717192,2.198809441857908,1.7232682403483446,2.1097607301164665
4,2.407586519640737,2.560640384124752,2.952304744969595,1.7254677281835216,2.370989729223357,2.504533781575291
5,2.063599307059617,2.133890275530958,2.1749417729161067,1.2339625575991893,1.267390335520814,1.5079713228644787
8,2.154431139231274,2.504533781575291,3.2120487536721107,2.5438821976221577,2.4075865196407373,2.0143960213403997
9,4.114916406265589,2.765988254201277,2.5652662971119513,2.8820137764982534,3.507724643078607,3.793629399233084
10,3.0648552054315648,2.4478923089925617,4.191788733682248,3.324883214145296,2.743568198399058,3.680351970245226
11,3.4210509300573824,3.757667266176556,3.324883214145295,3.2116057851574373,1.5938129671861159,1.7598146582728407
12,2.603634475947988,2.680537055717193,2.6036344759479877,2.976212945123689,2.6785437260998095,3.167832147311735
13,2.560640384124752,2.765988254201277,3.2120487536721107,4.053343155583054,2.593298516296418,2.506468744706659
14,2.644914322805854,3.2120487536721107,3.1136605078936412,2.3006987607520157,2.816989304199004,3.793629399233084
15,2.976212945123688,2.1591770487907262,1.686289618924417,2.382867836693313,2.147703800887025,1.4617722093817067
16,2.170649816153518,3.484716730100102,4.660534918770036,3.1351461739029065,2.8820137764982534,2.890761746639604
17,2.890761746639604,2.999830733132316,3.3507599615860406,2.292159190535105,2.756256788662344,2.5181832774639035
18,3.646170221177802,3.4210509300573824,3.297499952156196,2.0328581503472622,1.0720550217157767,2.890761746639604
19,2.063599307059617,2.063599307059617,3.1864376360461,1.8248391305720895,2.890761746639604,2.052746474178461
20,2.890761746639604,2.882013776498253,2.3579284918094374,2.1099173006168574,2.6333738778782725,2.6302907694112
21,2.504533781575291,0.7589506769460228,1.4781557217264887,1.8264998533672174,1.322911983941232,2.2446510628215792
22,2.976212945123689,2.518183277463903,3.297499952156196,3.394447214090749,2.4473629551368936,2.680537055717193
23,4.660534918770036,3.0731602070582422,3.4633287922444906,2.533343507476646,2.049184785080197,3.507724643078607
24,2.678543726099809,3.0292073247387994,3.8290116501111138,2.4478923089925617,1.9348431322034028,2.468319035177398
25,2.382867836693313,3.2116057851574378,3.2116057851574378,2.3120868708457656,2.743568198399058,2.827755751739166
26,3.680351970245225,2.504533781575291,3.8290116501111138,4.400821162420066,3.324883214145296,3.0731602070582422
27,3.646170221177802,3.646170221177802,3.324883214145296,2.5950858572331077,2.1826746158728287,2.5181832774639035
28,3.2116057851574373,3.9320749773322787,4.114916406265591,3.507724643078607,2.617811210563149,2.9390982175956557
29,4.400821162420066,2.617811210563149,3.646170221177802,3.167832147311735,3.114658523222884,3.7576672661765573
30,3.324883214145295,2.506468744706659,3.680351970245225,3.2116057851574378,2.777484317651746,3.2120487536721107
31,3.324883214145295,3.7936293992330827,2.890761746639604,2.518183277463903,3.4210509300573824,3.3507599615860415
32,1.2273561119320724,1.5446518209233697,1.5159438487997994,2.593241394859763,1.2230120328941796,0.9777409429221586
33,2.2649644947182552,3.7936293992330827,2.235674288452767,1.3502699470624766,1.0375074167870908,1.9724499249504166
34,2.976212945123689,4.191788733682248,3.9320749773322787,2.890761746639604,3.2120487536721107,2.4412806976946992
35,1.7167268023165199,2.4478923089925617,3.029207324738799,2.3709897292233575,1.9378423192237073,2.976212945123689
36,2.777484317651746,2.6785437260998095,1.0226461957478377,1.5769274752863,1.2208576920895395,1.3607400841980108
37,3.324883214145295,2.170649816153518,2.147703800887026,2.0239461173185074,1.9853500226337366,2.4478923089925617
38,3.394447214090749,2.533343507476647,3.0292073247387994,3.225002973750132,2.3221353211566527,1.686289618924417
39,2.680537055717192,2.4505324489449607,2.533343507476647,2.777484317651746,2.147703800887026,2.3059652569241083
40,2.6036344759479877,2.1952119286005516,3.297499952156195,3.4979535098265866,2.7005817378825414,2.5606403841247514
41,2.210792855300163,2.4075865196407373,1.9469590282509315,1.6321179795063245,1.8368101940400114,2.0239461173185074
