"subj_idx","TIR_friend_match","TIR_friend_mismatch","TIR_self_match","TIR_self_mismatch","TIR_stranger_match","TIR_stranger_mismatch","TR_friend_match","TR_friend_mismatch","TR_self_match","TR_self_mismatch","TR_stranger_match","TR_stranger_mismatch"
1,705.3636363636364,724.0298507462686,606.6805555555555,665.5846153846154,672.1857142857143,713.6714285714286,829.75,826.6949152542373,627.3943661971831,761,831.4761904761905,818.0588235294117
2,849.8103448275862,889.40625,853.5625,865.6153846153846,831.516129032258,857.2461538461539,807.6271186440678,869.8421052631579,804.2222222222222,889.875,815.4285714285714,833.7285714285714
3,750.4927536231884,860.1594202898551,784.6212121212121,897.3076923076923,696.0704225352113,803.2463768115942,863.9850746268656,942.4909090909091,781.0615384615385,935.5438596491229,856,902.6206896551724
4,749.6363636363636,847.3770491803278,694.4782608695652,825.65625,785.9333333333333,790.5441176470588,835.6842105263158,926.8644067796611,701.1492537313433,889.1967213114754,773.6875,859.4126984126984
5,717.3492063492064,792.1694915254237,689.4444444444445,790.0491803278688,756.953125,826.271186440678,823.3392857142857,943.7551020408164,724.8615384615384,992.7380952380952,804.9215686274509,875.8363636363637
8,706.9629629629629,746.0895522388059,733,765.4142857142857,826.4590163934427,747.1194029850747,802.3684210526316,895.9130434782609,941.5471698113207,941.8030303030303,874.1147540983607,960.1212121212121
9,774.5428571428571,856.9859154929577,849.4925373134329,871.5967741935484,819.7424242424242,907.7272727272727,776.1739130434783,980.8571428571429,829.8169014084507,929.7205882352941,898.5882352941177,1001.5
10,695.3714285714286,801.3650793650794,680.4492753623189,686.5416666666666,733.8412698412699,826.5230769230769,776.6666666666666,947,741.6197183098592,867.2686567164179,841.1111111111111,954.75
11,807.515625,858.943661971831,708.4411764705883,824.1014492753624,769.276923076923,793.7361111111111,795.6865671641791,880.5797101449275,828.5925925925926,888.2903225806451,890.8064516129032,905.24
12,655.21875,708.3484848484849,591.5454545454545,701.25,697.6461538461539,714.939393939394,629.4411764705883,672.560606060606,609.9718309859155,708.7,663.2741935483871,677.1764705882352
