"subj_idx","TIR_friend_match","TIR_friend_mismatch","TIR_self_match","TIR_self_mismatch","TIR_stranger_match","TIR_stranger_mismatch","TR_friend_match","TR_friend_mismatch","TR_self_match","TR_self_mismatch","TR_stranger_match","TR_stranger_mismatch"
1,0.9166666666666666,0.9305555555555556,1,0.9027777777777778,0.9722222222222222,0.9722222222222222,0.8333333333333334,0.8194444444444444,0.9861111111111112,0.875,0.875,0.9444444444444444
2,0.8055555555555556,0.8888888888888888,0.8888888888888888,0.9027777777777778,0.8611111111111112,0.9027777777777778,0.8194444444444444,0.7916666666666666,0.875,0.8888888888888888,0.7777777777777778,0.9722222222222222
3,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9027777777777778,0.9861111111111112,0.9583333333333334,0.9305555555555556,0.7638888888888888,0.9027777777777778,0.7916666666666666,0.8055555555555556,0.8055555555555556
4,0.9166666666666666,0.8472222222222222,0.9583333333333334,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.7916666666666666,0.8194444444444444,0.9305555555555556,0.8472222222222222,0.8888888888888888,0.875
5,0.875,0.8194444444444444,0.875,0.8472222222222222,0.8888888888888888,0.8194444444444444,0.7777777777777778,0.6805555555555556,0.9027777777777778,0.5833333333333334,0.7083333333333334,0.7638888888888888
8,0.75,0.9305555555555556,0.9027777777777778,0.9722222222222222,0.8472222222222222,0.9305555555555556,0.7916666666666666,0.9583333333333334,0.7361111111111112,0.9166666666666666,0.8472222222222222,0.9166666666666666
9,0.9722222222222222,0.9861111111111112,0.9305555555555556,0.8611111111111112,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.875,0.9861111111111112,0.9444444444444444,0.9444444444444444,0.9722222222222222
10,0.9722222222222222,0.875,0.9583333333333334,1,0.875,0.9027777777777778,0.9583333333333334,0.9444444444444444,0.9861111111111112,0.9305555555555556,0.875,0.9444444444444444
11,0.8888888888888888,0.9861111111111112,0.9444444444444444,0.9583333333333334,0.9027777777777778,1,0.9305555555555556,0.9583333333333334,0.75,0.8611111111111112,0.8611111111111112,0.6944444444444444
12,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.8888888888888888,0.9027777777777778,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9861111111111112,0.8333333333333334,0.8611111111111112,0.9444444444444444
13,0.8333333333333334,0.9444444444444444,0.9722222222222222,0.9027777777777778,0.9166666666666666,0.9166666666666666,1,0.9444444444444444,0.9444444444444444,0.8194444444444444,0.9583333333333334,0.8055555555555556
14,0.8194444444444444,0.9583333333333334,0.8194444444444444,0.9861111111111112,0.9027777777777778,0.9722222222222222,0.875,0.875,0.9861111111111112,0.9444444444444444,0.8611111111111112,0.9583333333333334
15,0.9166666666666666,0.9444444444444444,0.7638888888888888,0.8333333333333334,0.8055555555555556,0.9027777777777778,0.9027777777777778,0.8611111111111112,0.8194444444444444,0.7083333333333334,0.9166666666666666,0.7777777777777778
16,0.8611111111111112,0.8611111111111112,1,0.9861111111111112,1,0.8472222222222222,0.9722222222222222,0.8888888888888888,0.9444444444444444,0.9027777777777778,0.9583333333333334,0.875
17,0.9027777777777778,0.9444444444444444,0.875,0.9861111111111112,0.8611111111111112,0.9722222222222222,0.9305555555555556,0.7916666666666666,0.9027777777777778,0.8888888888888888,0.8472222222222222,0.9583333333333334
18,0.9722222222222222,0.9583333333333334,0.9722222222222222,0.9166666666666666,0.8888888888888888,0.9861111111111112,0.8888888888888888,0.7916666666666666,0.9444444444444444,0.9027777777777778,0.5416666666666666,0.8333333333333334
19,0.8194444444444444,0.875,0.9444444444444444,0.9444444444444444,0.875,0.8194444444444444,0.875,0.75,0.8611111111111112,0.8333333333333334,0.9444444444444444,0.9027777777777778
20,0.9027777777777778,0.9444444444444444,0.7777777777777778,0.9444444444444444,0.875,0.9583333333333334,0.8472222222222222,0.8611111111111112,0.875,0.9305555555555556,0.7638888888888888,0.9722222222222222
21,0.9305555555555556,0.8472222222222222,0.8611111111111112,0.6527777777777778,0.5833333333333334,0.7083333333333334,0.8194444444444444,0.8194444444444444,0.9305555555555556,0.7777777777777778,0.6388888888888888,0.8333333333333334
22,0.9444444444444444,0.9166666666666666,0.9722222222222222,0.9166666666666666,0.8888888888888888,0.9027777777777778,0.9305555555555556,0.9722222222222222,0.9027777777777778,0.9166666666666666,0.8333333333333334,0.9305555555555556
23,0.9861111111111112,1,0.9583333333333334,0.9583333333333334,0.9305555555555556,0.9444444444444444,0.9166666666666666,0.875,0.9444444444444444,0.9722222222222222,0.8472222222222222,0.8472222222222222
24,0.9444444444444444,0.8611111111111112,0.9722222222222222,0.9722222222222222,0.9583333333333334,0.9027777777777778,0.9027777777777778,0.875,0.8611111111111112,0.9166666666666666,0.8333333333333334,0.8333333333333334
25,0.8611111111111112,0.9027777777777778,0.9583333333333334,0.9305555555555556,0.9583333333333334,0.9305555555555556,0.9444444444444444,0.7638888888888888,0.8194444444444444,0.9722222222222222,0.9444444444444444,0.875
26,0.9305555555555556,0.9861111111111112,0.9722222222222222,0.9722222222222222,0.8472222222222222,0.9305555555555556,0.9861111111111112,0.9861111111111112,0.9444444444444444,0.9305555555555556,0.9583333333333334,0.9444444444444444
27,0.9722222222222222,0.9583333333333334,0.9583333333333334,0.9444444444444444,0.9722222222222222,0.9583333333333334,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.8888888888888888,0.9444444444444444,0.7222222222222222
28,0.9305555555555556,0.9583333333333334,0.9861111111111112,0.9722222222222222,0.9861111111111112,0.9583333333333334,0.9722222222222222,0.9444444444444444,0.8472222222222222,0.9722222222222222,0.8472222222222222,0.9444444444444444
29,0.9861111111111112,0.9861111111111112,0.9722222222222222,0.9583333333333334,0.9444444444444444,0.8472222222222222,0.9861111111111112,0.8333333333333334,1,0.9027777777777778,0.9583333333333334,0.9166666666666666
30,0.9444444444444444,0.9583333333333334,0.9305555555555556,0.9861111111111112,0.9444444444444444,0.8194444444444444,0.9583333333333334,0.9305555555555556,0.9722222222222222,0.9027777777777778,0.9027777777777778,0.9305555555555556
31,0.9444444444444444,0.9583333333333334,0.9027777777777778,0.9444444444444444,0.9444444444444444,0.9861111111111112,0.8888888888888888,0.9027777777777778,0.9861111111111112,0.875,0.8888888888888888,0.9861111111111112
32,0.6944444444444444,0.7638888888888888,0.8333333333333334,0.7083333333333334,0.8194444444444444,0.7361111111111112,0.9861111111111112,0.6527777777777778,0.6944444444444444,0.6805555555555556,0.75,0.7083333333333334
33,0.9027777777777778,0.8333333333333334,0.875,0.8611111111111112,0.9444444444444444,0.9861111111111112,0.7638888888888888,0.7361111111111112,0.9166666666666666,0.7222222222222222,0.625,0.7638888888888888
34,0.9444444444444444,0.9166666666666666,0.9861111111111112,0.9583333333333334,0.9583333333333334,1,0.9444444444444444,0.9027777777777778,0.8888888888888888,0.8888888888888888,0.9027777777777778,0.9722222222222222
35,0.7361111111111112,0.8611111111111112,0.9027777777777778,0.9583333333333334,0.875,0.9027777777777778,0.875,0.8888888888888888,0.9444444444444444,0.9166666666666666,0.8472222222222222,0.8194444444444444
36,0.9027777777777778,0.9305555555555556,0.5833333333333334,0.7916666666666666,0.8611111111111112,0.9444444444444444,0.7777777777777778,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7361111111111112,0.7222222222222222
37,0.9444444444444444,0.9583333333333334,0.7777777777777778,0.9166666666666666,0.8611111111111112,0.8611111111111112,0.6666666666666666,0.9444444444444444,0.9027777777777778,0.875,0.8888888888888888,0.7777777777777778
38,0.9305555555555556,0.9722222222222222,0.9583333333333334,0.9027777777777778,0.875,0.9166666666666666,0.9861111111111112,0.8472222222222222,0.7638888888888888,0.8333333333333334,0.8472222222222222,0.9027777777777778
39,0.9166666666666666,0.9027777777777778,0.875,0.9166666666666666,0.7638888888888888,0.9583333333333334,0.9305555555555556,0.9027777777777778,0.8888888888888888,0.8611111111111112,0.7777777777777778,0.9166666666666666
40,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.9722222222222222,0.7916666666666666,0.9166666666666666,0.9027777777777778,0.9861111111111112,0.9444444444444444,0.8333333333333334,0.8888888888888888,0.9305555555555556
41,0.9027777777777778,0.8194444444444444,0.8611111111111112,0.8055555555555556,0.8472222222222222,0.9166666666666666,0.8194444444444444,0.7638888888888888,0.9444444444444444,0.6666666666666666,0.8472222222222222,0.7916666666666666
