"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","phase","stage","shape","subj_idx","TaskRelevance","CognitiveLoad","isMatch","Identity","display_label","nBack_shape","nBack_color","nBack_label","sequence","condition_type","correct_response","correct"
"","","","","","image-keyboard-response","5512","4971747","0.0-4.0-3.0-0.1-494.1","null","../img/green_circle.png","null","","main","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5513","4972763","0.0-4.0-3.0-0.1-495.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5514","4974777","0.0-4.0-3.0-0.1-496.1","null","","null","","main","response","","100","TaskIRRelevant","2","false","自我","生人","../img/green_circle.png","red","","../img/green_triangle.png,../img/red_circle.png,../img/red_circle.png,../img/green_circle.png,../img/green_triangle.png","{""label_type"":""自我"",""is_match"":false,""count"":24,""colorPool"":[""green"",""red"",""red"",""green"",""red"",""red"",""red"",""red"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green""]}","j","false"
"","","","","","html-keyboard-response","5515","4975085","0.0-4.0-3.0-0.1-497.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5516","4975752","0.0-4.0-3.0-0.1-498.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5517","4976256","0.0-4.0-3.0-0.1-499.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5518","4977270","0.0-4.0-3.0-0.1-500.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5519","4978286","0.0-4.0-3.0-0.1-501.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5520","4979293","0.0-4.0-3.0-0.1-502.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5521","4981300","0.0-4.0-3.0-0.1-503.1","null","","null","","main","response","","100","TaskIRRelevant","2","true","自我","自我","../img/red_circle.png","red","","../img/red_triangle.png,../img/red_circle.png,../img/red_circle.png,../img/red_triangle.png","{""label_type"":""自我"",""is_match"":true,""count"":24,""colorPool"":[""green"",""red"",""red"",""green"",""red"",""red"",""red"",""red"",""green"",""red"",""green"",""green"",""red"",""red"",""red"",""green"",""green"",""red"",""red"",""green"",""green"",""green"",""green"",""green""]}","f","false"
"","","","","","html-keyboard-response","5522","4981601","0.0-4.0-3.0-0.1-504.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5523","4982240","0.0-4.0-3.0-0.1-505.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5524","4982751","0.0-4.0-3.0-0.1-506.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5525","4983775","0.0-4.0-3.0-0.1-507.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5526","4984791","0.0-4.0-3.0-0.1-508.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5527","4985804","0.0-4.0-3.0-0.1-509.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5528","4986805","0.0-4.0-3.0-0.1-510.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5529","4988807","0.0-4.0-3.0-0.1-511.1","null","","null","","main","response","","100","TaskIRRelevant","2","true","生人","生人","../img/green_triangle.png","green","","../img/green_triangle.png,../img/red_circle.png,../img/red_triangle.png,../img/green_triangle.png,../img/red_triangle.png","{""label_type"":""生人"",""is_match"":true,""count"":24,""colorPool"":[""red"",""red"",""red"",""green"",""red"",""green"",""red"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green"",""red"",""green"",""red"",""green"",""green"",""green"",""red"",""green"",""red""]}","f","false"
"","","","","","html-keyboard-response","5530","4989111","0.0-4.0-3.0-0.1-512.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5531","4989629","0.0-4.0-3.0-0.1-513.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5532","4990131","0.0-4.0-3.0-0.1-514.1","null","../img/green_circle.png","null","","main","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5533","4991144","0.0-4.0-3.0-0.1-515.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5534","4992147","0.0-4.0-3.0-0.1-516.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5535","4993149","0.0-4.0-3.0-0.1-517.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5536","4994167","0.0-4.0-3.0-0.1-518.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5537","4996183","0.0-4.0-3.0-0.1-519.1","null","","null","","main","response","","100","TaskIRRelevant","2","true","自我","自我","../img/red_circle.png","red","","../img/green_circle.png,../img/green_triangle.png,../img/red_triangle.png,../img/red_circle.png,../img/red_triangle.png","{""label_type"":""自我"",""is_match"":true,""count"":24,""colorPool"":[""green"",""red"",""red"",""green"",""red"",""red"",""red"",""red"",""green"",""red"",""green"",""green"",""red"",""red"",""red"",""green"",""green"",""red"",""red"",""green"",""green"",""green"",""green"",""green""]}","f","false"
"","","","","","html-keyboard-response","5538","4996498","0.0-4.0-3.0-0.1-520.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5539","4996887","0.0-4.0-3.0-0.1-521.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5540","4997401","0.0-4.0-3.0-0.1-522.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5541","4998415","0.0-4.0-3.0-0.1-523.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5542","4999444","0.0-4.0-3.0-0.1-524.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5543","5000477","0.0-4.0-3.0-0.1-525.1","null","../img/green_circle.png","null","","main","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5544","5001508","0.0-4.0-3.0-0.1-526.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5545","5003517","0.0-4.0-3.0-0.1-527.1","null","","null","","main","response","","100","TaskIRRelevant","2","false","自我","生人","../img/green_circle.png","red","","../img/red_circle.png,../img/red_triangle.png,../img/red_triangle.png,../img/green_circle.png,../img/red_circle.png","{""label_type"":""自我"",""is_match"":false,""count"":24,""colorPool"":[""green"",""red"",""red"",""green"",""red"",""red"",""red"",""red"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green""]}","j","false"
"","","","","","html-keyboard-response","5546","5003829","0.0-4.0-3.0-0.1-528.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5547","5004640","0.0-4.0-3.0-0.1-529.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5548","5005143","0.0-4.0-3.0-0.1-530.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5549","5006157","0.0-4.0-3.0-0.1-531.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5550","5007187","0.0-4.0-3.0-0.1-532.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5551","5009201","0.0-4.0-3.0-0.1-533.1","null","","null","","main","response","","100","TaskIRRelevant","2","true","生人","生人","../img/green_triangle.png","green","","../img/red_triangle.png,../img/green_triangle.png,../img/red_triangle.png","{""label_type"":""生人"",""is_match"":true,""count"":24,""colorPool"":[""red"",""red"",""red"",""green"",""red"",""green"",""red"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green"",""red"",""green"",""red"",""green"",""green"",""green"",""red"",""green"",""red""]}","f","false"
"","","","","","html-keyboard-response","5552","5009514","0.0-4.0-3.0-0.1-534.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5553","5010576","0.0-4.0-3.0-0.1-535.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5554","5011078","0.0-4.0-3.0-0.1-536.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5555","5012101","0.0-4.0-3.0-0.1-537.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5556","5013117","0.0-4.0-3.0-0.1-538.1","null","../img/green_circle.png","null","","main","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5557","5014134","0.0-4.0-3.0-0.1-539.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5558","5016149","0.0-4.0-3.0-0.1-540.1","null","","null","","main","response","","100","TaskIRRelevant","2","false","自我","生人","../img/green_circle.png","red","","../img/green_triangle.png,../img/red_triangle.png,../img/green_circle.png,../img/green_triangle.png","{""label_type"":""自我"",""is_match"":false,""count"":24,""colorPool"":[""green"",""red"",""red"",""green"",""red"",""red"",""red"",""red"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green""]}","j","false"
"","","","","","html-keyboard-response","5559","5016449","0.0-4.0-3.0-0.1-541.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5560","5016766","0.0-4.0-3.0-0.1-542.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5561","5017273","0.0-4.0-3.0-0.1-543.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5562","5018300","0.0-4.0-3.0-0.1-544.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5563","5019313","0.0-4.0-3.0-0.1-545.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5564","5020319","0.0-4.0-3.0-0.1-546.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5565","5022320","0.0-4.0-3.0-0.1-547.1","null","","null","","main","response","","100","TaskIRRelevant","2","true","生人","生人","../img/green_triangle.png","green","","../img/red_triangle.png,../img/red_circle.png,../img/green_triangle.png,../img/red_triangle.png","{""label_type"":""生人"",""is_match"":true,""count"":24,""colorPool"":[""red"",""red"",""red"",""green"",""red"",""green"",""red"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green"",""red"",""green"",""red"",""green"",""green"",""green"",""red"",""green"",""red""]}","f","false"
"","","","","","html-keyboard-response","5566","5022624","0.0-4.0-3.0-0.1-548.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5567","5022996","0.0-4.0-3.0-0.1-549.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5568","5023511","0.0-4.0-3.0-0.1-550.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
