"subj_idx","gender","year","condition","朋友","生人","自我"
25,0,"2004","classify_self",787.9459459459459,826.3333333333334,779.5302013422819
26,1,"2002","classify_self",776.6266666666667,788.7341772151899,759.3949044585987
27,0,"2000","classify_friend",659.6415094339623,740.9358974358975,739.1645569620254
28,1,"2002","classify_friend",709.031847133758,730.3333333333334,770.3417721518987
29,1,"2002","classify_stranger",701.8974358974359,615.5723270440252,707.418918918919
30,0,"2001","classify_stranger",642.4647887323944,635.5466666666666,670.3857142857142
