"subj_idx","gender","year","material","朋友_match","生人_match","自我_match","朋友_mismatch","生人_mismatch","自我_mismatch"
1,1,"2001",1,829.6,858.8863636363636,681.8771929824561,897.5454545454545,810.7241379310345,800.3695652173913
2,0,"2002",1,730.34,737.7234042553191,642.448275862069,727.0338983050848,771.4038461538462,790.8695652173913
3,0,"2000",1,642.5,620.5,644.5964912280701,745.2830188679245,674.4915254237288,730.1730769230769
4,1,"2001",1,646.8305084745763,780.5,660.5357142857143,719.6842105263158,726.5166666666667,693.2241379310345
5,1,"1998",1,881.9,771.3090909090909,842.38,871.5555555555555,850.3272727272728,887.5652173913044
6,1,"2001",1,753.5964912280701,775.65,660.3166666666667,897.8545454545455,794.1333333333333,801.3928571428571
7,0,"2005",1,663.2542372881356,751.188679245283,791.6315789473684,791.2833333333333,821.9807692307693,882.2727272727273
8,1,"2002",1,705.5185185185185,723.5277777777778,707.0169491525423,753.25,817.8333333333334,813.2820512820513
9,1,"2002",1,664.4642857142857,693.5087719298245,750.25,830.3461538461538,751.32,829.9411764705883
10,1,"2001",1,868.9183673469388,837.5535714285714,666.2033898305085,910.08,873.2363636363636,854.6896551724138
11,1,"2000",1,877.72,873.88,918.0232558139535,950.1346153846154,912.4074074074074,965.5581395348837
12,1,"2000",1,796.0677966101695,781.6481481481482,684.7833333333333,818.3448275862069,810.9,819.3508771929825
