"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","shape","association","screen_id","LeftLable","RightLable"
"true","false","[]","[]","[]","preload","0","1083","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","45820","0.0-1.0","44733","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","arrowdown","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","49583","0.0-2.0","3762","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     ","arrowdown","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","49586","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","55226","0.0-3.0-1.0","5637","","{""Q0"":""05""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","57260","0.0-3.0-2.0","2030","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","62056","0.0-3.0-3.0","4803","","{""Q0"":""1998""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","66893","0.0-3.0-4.0","4835","","{""Q0"":""6""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","172213","0.0-4.0","105307","","","","85.6","53.98","413.1310472243812","4.8317337994345735","592.55","8.262620944487624","50","0.8423477304309037","22.32","11.48","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","175984","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","227946","0.0-6.0","51960","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5821},{""page_index"":1,""viewing_time"":12752},{""page_index"":2,""viewing_time"":14417},{""page_index"":3,""viewing_time"":7953},{""page_index"":2,""viewing_time"":4697},{""page_index"":3,""viewing_time"":2371},{""page_index"":4,""viewing_time"":3948}]","","","","","","","","","","","","","","",""
"","","","","","psychophysics","11","230487","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.664893333333506","581.8181692076126","359.9999921972103","arrowright","false","../../test_img/25.png","自我","prac_matching_task","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","12","230802","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","13","232615","0.0-7.0-0.0-0.1","810","","arrowleft","","","","","","","","","","","","","key","arrowleft","16.672897196261683","581.8181692076126","359.9999921972103","arrowright","false","../../test_img/25.png","自我","prac_matching_task","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","14","232921","0.0-7.0-0.0-1.1","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","15","235156","0.0-7.0-0.0-0.2","1204","","arrowleft","","","","","","","","","","","","","key","arrowleft","16.66651127819555","581.8181692076126","359.9999921972103","arrowleft","true","../../test_img/19.png","自我","prac_matching_task","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","16","235473","0.0-7.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","17","237312","0.0-7.0-0.0-0.3","801","","arrowright","","","","","","","","","","","","","key","arrowright","16.6697247706422","581.8181692076126","359.9999921972103","arrowright","true","../../test_img/12.png","生人","prac_matching_task","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","18","237617","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","19","239714","0.0-7.0-0.0-0.4","1078","","arrowright","","","","","","","","","","","","","key","arrowright","16.668548387096962","581.8181692076126","359.9999921972103","arrowleft","false","../../test_img/25.png","朋友","prac_matching_task","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","20","240017","0.0-7.0-0.0-1.4","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","21","242195","0.0-7.0-0.0-0.5","1173","","arrowright","","","","","","","","","","","","","key","arrowright","16.669767441860646","581.8181692076126","359.9999921972103","arrowright","true","../../test_img/19.png","朋友","prac_matching_task","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","22","242501","0.0-7.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","23","244229","0.0-7.0-0.0-0.6","709","","arrowright","","","","","","","","","","","","","key","arrowright","16.667117647058845","581.8181692076126","359.9999921972103","arrowleft","false","../../test_img/12.png","自我","prac_matching_task","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","24","244537","0.0-7.0-0.0-1.6","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","25","247054","0.0-7.0-0.0-0.7","null","","null","","","","","","","","","","","","","key","null","16.670469798657678","581.8181692076126","359.9999921972103","arrowright","false","../../test_img/19.png","朋友","prac_matching_task","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","26","247370","0.0-7.0-0.0-1.7","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","27","249479","0.0-7.0-0.0-0.8","1092","","arrowleft","","","","","","","","","","","","","key","arrowleft","16.667854838709783","581.8181692076126","359.9999921972103","arrowleft","true","../../test_img/19.png","生人","prac_matching_task","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","28","249782","0.0-7.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","29","251427","0.0-7.0-0.0-0.9","638","","arrowright","","","","","","","","","","","","","key","arrowright","16.66954639175254","581.8181692076126","359.9999921972103","arrowleft","false","../../test_img/12.png","朋友","prac_matching_task","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","30","251733","0.0-7.0-0.0-1.9","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","31","253567","0.0-7.0-0.0-0.10","813","","arrowright","","","","","","","","","","","","","key","arrowright","16.6592592592591","581.8181692076126","359.9999921972103","arrowright","true","../../test_img/12.png","生人","prac_matching_task","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","32","253880","0.0-7.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","33","255952","0.0-7.0-0.0-0.11","1064","","arrowleft","","","","","","","","","","","","","key","arrowleft","16.667590163934396","581.8181692076126","359.9999921972103","arrowleft","true","../../test_img/25.png","生人","prac_matching_task","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","34","256264","0.0-7.0-0.0-1.11","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","35","258693","0.0-7.0-0.0-0.12","1418","","arrowright","","","","","","","","","","","","","key","arrowright","16.666986111111125","581.8181692076126","359.9999921972103","arrowright","true","../../test_img/25.png","自我","prac_matching_task","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","36","259009","0.0-7.0-0.0-1.12","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","37","261445","0.0-7.0-0.0-0.13","1424","","arrowright","","","","","","","","","","","","","key","arrowright","16.672413793103246","581.8181692076126","359.9999921972103","arrowleft","false","../../test_img/25.png","生人","prac_matching_task","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","38","261751","0.0-7.0-0.0-1.13","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","39","264097","0.0-7.0-0.0-0.14","1326","","arrowleft","","","","","","","","","","","","","key","arrowleft","16.660431654676174","581.8181692076126","359.9999921972103","arrowleft","true","../../test_img/19.png","生人","prac_matching_task","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","40","264402","0.0-7.0-0.0-1.14","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","41","266747","0.0-7.0-0.0-0.15","1326","","arrowleft","","","","","","","","","","","","","key","arrowleft","16.66867625899278","581.8181692076126","359.9999921972103","arrowright","false","../../test_img/25.png","自我","prac_matching_task","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","42","267049","0.0-7.0-0.0-1.15","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","43","269011","0.0-7.0-0.0-0.16","953","","arrowright","","","","","","","","","","","","","key","arrowright","16.669827586206495","581.8181692076126","359.9999921972103","arrowright","true","../../test_img/19.png","朋友","prac_matching_task","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","44","269325","0.0-7.0-0.0-1.16","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","45","271063","0.0-7.0-0.0-0.17","725","","arrowright","","","","","","","","","","","","","key","arrowright","16.670349514562844","581.8181692076126","359.9999921972103","arrowleft","false","../../test_img/12.png","朋友","prac_matching_task","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","46","271377","0.0-7.0-0.0-1.17","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","47","273080","0.0-7.0-0.0-0.18","691","","arrowright","","","","","","","","","","","","","key","arrowright","16.668772277227454","581.8181692076126","359.9999921972103","arrowleft","false","../../test_img/12.png","自我","prac_matching_task","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","48","273385","0.0-7.0-0.0-1.18","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","49","275295","0.0-7.0-0.0-0.19","903","","arrowright","","","","","","","","","","","","","key","arrowright","16.671681415928894","581.8181692076126","359.9999921972103","arrowleft","false","../../test_img/19.png","自我","prac_matching_task","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","50","275611","0.0-7.0-0.0-1.19","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","51","277521","0.0-7.0-0.0-0.20","899","","arrowright","","","","","","","","","","","","","key","arrowright","16.669433628318654","581.8181692076126","359.9999921972103","arrowright","true","../../test_img/12.png","生人","prac_matching_task","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","52","277825","0.0-7.0-0.0-1.20","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","53","279728","0.0-7.0-0.0-0.21","888","","arrowleft","","","","","","","","","","","","","key","arrowleft","16.664707964601973","581.8181692076126","359.9999921972103","arrowright","false","../../test_img/19.png","朋友","prac_matching_task","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","54","280033","0.0-7.0-0.0-1.21","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","55","281762","0.0-7.0-0.0-0.22","721","","arrowright","","","","","","","","","","","","","key","arrowright","16.668098039215764","581.8181692076126","359.9999921972103","arrowright","true","../../test_img/12.png","生人","prac_matching_task","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","56","282070","0.0-7.0-0.0-1.22","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","psychophysics","57","284068","0.0-7.0-0.0-0.23","978","","arrowleft","","","","","","","","","","","","","key","arrowleft","16.67264957264967","581.8181692076126","359.9999921972103","arrowleft","true","../../test_img/25.png","朋友","prac_matching_task","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
"","","","","","html-keyboard-response","58","284380","0.0-7.0-0.0-1.23","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
"","","","","","html-keyboard-response","59","310907","0.0-7.0-1.0-0.0","26517","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                          <div><p class='context'>您正确回答了50% 的试次。</p ><p class='context'>您的平均反应时为1037毫秒。</p >"," ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","60","351966","0.0-7.0-1.0-1.0","41056","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5917},{""page_index"":1,""viewing_time"":12422},{""page_index"":2,""viewing_time"":2297},{""page_index"":1,""viewing_time"":19188},{""page_index"":2,""viewing_time"":766},{""page_index"":3,""viewing_time"":467}]","","","","","","","","","","","","","","",""
"","","","","","psychophysics","61","353956","0.0-7.1-0.1-0.24","975","","arrowleft","","","","","","","","","","","","","key","arrowleft","16.669372881355724","581.8181692076126","359.9999921972103","arrowleft","true","../../test_img/12.png","朋友","prac_matching_task","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]","","",""
