"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","shape","association","screen_id","LeftLable","RightLable"
"true","false","[]","[]","[]","preload","0","443","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","163834","0.0-1.0","163392","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","arrowright","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","165651","0.0-2.0","1813","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     ","arrowright","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","165654","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","170113","0.0-3.0-1.0","4445","","{""Q0"":""19""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","171415","0.0-3.0-2.0","1298","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","174592","0.0-3.0-3.0","3173","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","177464","0.0-3.0-4.0","2870","","{""Q0"":""6""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","314993","0.0-4.0","137530","","","","85.6","53.98","569.1306967229498","6.65250547725048","429.46","11.382613934458995","50","0.7906795444194041","28.64","16.68","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","324227","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","379285","0.0-6.0","55055","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9699},{""page_index"":1,""viewing_time"":11289},{""page_index"":2,""viewing_time"":27799},{""page_index"":3,""viewing_time"":3808},{""page_index"":4,""viewing_time"":2460}]","","","","","","","","","","","","","","",""
"","","","","","psychophysics","11","381632","0.0-7.0-0.0-0.0","1342","","arrowright","","","","","","","","","","","","","key","arrowright","16.666428571428487","720","476","arrowleft","false","../../test_img/22.png","自我","prac_matching_task","生人","[""<img src=\""../../test_img/15.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/26.png\"" width=150 style=\""vertical-align:middle\"">---朋友"",""<img src=\""../../test_img/22.png\"" width=150 style=\""vertical-align:middle\"">---生人""]","","",""
"","","","","","html-keyboard-response","12","381941","0.0-7.0-0.0-1.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","",""
