"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","condition","correct_response","correct","Image","LeftLable","RightLable","shape","association","screen_id"
"","","","","","psychophysics","568","596070","0.0-11.0-0.0-0.0-0.4-0.243","520","","arrowleft","","","","","","","","","","","","","key","arrowleft","4.163824289405745","853.3333333333334","476","classify_self","arrowleft","true","../../test_img/19.png","其他","自我","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]",""
"","","","","","html-keyboard-response","569","596378","0.0-11.0-0.0-0.0-0.4-1.243","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","570","598033","0.0-11.0-0.0-0.0-0.4-0.244","555","","arrowright","","","","","","","","","","","","","key","arrowright","4.163131313131548","853.3333333333334","476","classify_self","arrowright","true","../../test_img/19.png","自我","其他","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]",""
"","","","","","html-keyboard-response","571","598349","0.0-11.0-0.0-0.0-0.4-1.244","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","572","600112","0.0-11.0-0.0-0.0-0.4-0.245","661","","arrowright","","","","","","","","","","","","","key","arrowright","4.165795724465393","853.3333333333334","476","classify_self","arrowright","true","../../test_img/12.png","其他","自我","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]",""
"","","","","","html-keyboard-response","573","600418","0.0-11.0-0.0-0.0-0.4-1.245","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","574","602081","0.0-11.0-0.0-0.0-0.4-0.246","561","","arrowleft","","","","","","","","","","","","","key","arrowleft","4.1660804020099915","853.3333333333334","476","classify_self","arrowleft","true","../../test_img/19.png","其他","自我","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]",""
"","","","","","html-keyboard-response","575","602386","0.0-11.0-0.0-0.0-0.4-1.246","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","576","604172","0.0-11.0-0.0-0.0-0.4-0.247","685","","arrowright","","","","","","","","","","","","","key","arrowright","4.166042154566799","853.3333333333334","476","classify_self","arrowright","true","../../test_img/25.png","自我","其他","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]",""
"","","","","","html-keyboard-response","577","604482","0.0-11.0-0.0-0.0-0.4-1.247","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","578","606310","0.0-11.0-0.0-0.0-0.4-0.248","724","","arrowright","","","","","","","","","","","","","key","arrowright","4.166590389016124","853.3333333333334","476","classify_self","arrowright","true","../../test_img/19.png","自我","其他","朋友","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]",""
"","","","","","html-keyboard-response","579","606623","0.0-11.0-0.0-0.0-0.4-1.248","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","580","608392","0.0-11.0-0.0-0.0-0.4-0.249","668","","arrowleft","","","","","","","","","","","","","key","arrowleft","4.165957446808676","853.3333333333334","476","classify_self","arrowleft","true","../../test_img/25.png","其他","自我","生人","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]",""
"","","","","","html-keyboard-response","581","608707","0.0-11.0-0.0-0.0-0.4-1.249","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","582","610388","0.0-11.0-0.0-0.0-0.4-0.250","577","","arrowright","","","","","","","","","","","","","key","arrowright","4.177057356608479","853.3333333333334","476","classify_self","arrowright","true","../../test_img/12.png","其他","自我","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]",""
"","","","","","html-keyboard-response","583","610697","0.0-11.0-0.0-0.0-0.4-1.250","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","584","612480","0.0-11.0-0.0-0.0-0.4-0.251","682","","arrowleft","","","","","","","","","","","","","key","arrowleft","4.165727699530735","853.3333333333334","476","classify_self","arrowleft","true","../../test_img/12.png","自我","其他","自我","[""<img src=\""../../test_img/12.png\"" width=150 style=\""vertical-align:middle\"">---自我"",""<img src=\""../../test_img/25.png\"" width=150 style=\""vertical-align:middle\"">---生人"",""<img src=\""../../test_img/19.png\"" width=150 style=\""vertical-align:middle\"">---朋友""]",""
"","","","","","html-keyboard-response","585","612791","0.0-11.0-0.0-0.0-0.4-1.251","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
