"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","shape","association","screen_id","LeftLable","RightLable"
"true","false","[]","[]","[]","preload","0","1020","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","45224","0.0-1.0","44203","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","46880","0.0-2.0","1656","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","46881","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","51484","0.0-3.0-1.0","4601","","{""Q0"":""08""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","52834","0.0-3.0-2.0","1347","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","59022","0.0-3.0-3.0","6186","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","62075","0.0-3.0-4.0","3051","","{""Q0"":""6""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","202728","0.0-4.0","140651","","","","85.6","53.98","425.0540918495702","4.962403353874837","575.87","8.501081836991405","50","0.9692883985829498","33.98","16","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","205058","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","384736","0.0-6.0","179667","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9029},{""page_index"":1,""viewing_time"":122007},{""page_index"":2,""viewing_time"":44126},{""page_index"":3,""viewing_time"":2329},{""page_index"":4,""viewing_time"":2176}]","","","","","","","","","","","","","","",""
