"subj_idx","gender","year","material","朋友_match","生人_match","自我_match","朋友_mismatch","生人_mismatch","自我_mismatch"
13,1,"2001",2,0.9166666666666666,0.85,0.95,0.9166666666666666,0.9166666666666666,0.95
14,1,"1999",2,0.8666666666666667,0.8833333333333333,0.8,0.8833333333333333,0.8833333333333333,0.8833333333333333
15,0,"2001",2,0.95,0.9333333333333333,0.9666666666666667,0.8666666666666667,0.8833333333333333,0.8666666666666667
16,1,"2001",2,0.9166666666666666,0.8166666666666667,0.9333333333333333,0.9166666666666666,0.95,0.9833333333333333
17,1,"2001",2,0.9833333333333333,0.8666666666666667,0.9833333333333333,0.9,0.9,0.9333333333333333
18,1,"2002",2,0.9666666666666667,0.8833333333333333,1,0.95,1,0.9
19,1,"2000",2,0.9833333333333333,0.8333333333333334,0.9833333333333333,0.8833333333333333,0.9166666666666666,1
20,1,"2001",2,0.9333333333333333,0.9,0.9,0.8666666666666667,0.9833333333333333,0.85
21,1,"1997",2,0.9666666666666667,0.9333333333333333,0.8333333333333334,0.9666666666666667,0.9166666666666666,0.8666666666666667
22,0,"2005",2,0.9,0.7333333333333333,0.9833333333333333,0.7833333333333333,0.8,0.9166666666666666
23,0,"2001",2,0.9166666666666666,0.9,0.9833333333333333,0.9166666666666666,0.8833333333333333,0.9666666666666667
24,1,"2001",2,0.85,0.8333333333333334,0.6833333333333333,0.8,0.8166666666666667,0.8166666666666667
